Chip Run Info;E:\Helene-Adam-Riz-96x96-270317\jordan file\ChipRun.bml;1362290083;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2017 14:02:44;00:31:21;BIOMARKHD267
Application Version;4.1.3
Application Build;20140305.1515
Export Type;Table Results
Quality Threshold;0,65
Baseline Correction Method;Linear (Derivative)
Ct Threshold Method;Auto (Global)


Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;User
Chamber;Sample;Sample;Sample;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Ct;Tm;Tm;Tm;Defined
ID;Name;Type;rConc;Name;Type;Value;Calibrated rConc;Quality;Call;Threshold;In Range;Out Range;Peak Ratio;Comments
S94-A95;R- Mix 1/80;Standard;3,12;normalizer3;Reference;13,0680351693857;3,00935463755794;0,980226225039012;Pass;0,0102099395112248;80,1591125482242;999;1;
S94-A93;R- Mix 1/80;Standard;3,12;normalizer1bis;Reference;10,4666246212189;2,39046974552413;1;Pass;0,0102099395112248;80,2083495860803;999;1;
S94-A91;R- Mix 1/80;Standard;3,12;gene3;Test;17,1664221557435;3,91139284685163;1;Pass;0,0102099395112248;85,8729726543282;999;1;
S04-A01;J-N2R1;Unknown;250;normalizer1;Reference;3,09319836249213;359,059840315747;0,360735123355161;Fail;0,0102099395112248;80,2783776053071;999;1;
S04-A22;J-N2R1;Unknown;250;gene1;Test;5,52685848431082;19637,1039982584;1;Pass;0,0102099395112248;82,8039260753698;999;1;
S04-A29;J-N2R1;Unknown;250;gene4;Test;16,3818713088427;12,7420869240401;1;Pass;0,0102099395112248;77,5880524941343;999;1;
S04-A67;J-N2R1;Unknown;250;gene2;Test;9,08246995137165;365,504353191632;1;Pass;0,0102099395112248;81,0671788806451;999;1;
S04-A96;J-N2R1;Unknown;250;normalizer2;Reference;10,4012553590212;437,151892176329;1;Pass;0,0102099395112248;82,4973689601909;999;1;
S04-A95;J-N2R1;Unknown;250;normalizer3;Reference;5,94540150861831;286,105598808566;1;Pass;0,0102099395112248;80,3156163564333;999;1;
S04-A93;J-N2R1;Unknown;250;normalizer1bis;Reference;3,01447730347602;394,891705401519;0,338159101158672;Fail;0,0102099395112248;80,3576902036444;999;1;
S04-A91;J-N2R1;Unknown;250;gene3;Test;8,11594327611449;634,73786807849;1;Pass;0,0102099395112248;85,7675267537441;999;1;
S93-A01;R- Mix 1/40;Standard;6,25;normalizer1;Reference;9,65415842077278;4,33353984051557;1;Pass;0,0102099395112248;80,0676489621595;999;1;
S93-A22;R- Mix 1/40;Standard;6,25;gene1;Test;19,5357792372062;0,796653703813364;1;Pass;0,0102099395112248;82,3967839201105;999;1;
S93-A29;R- Mix 1/40;Standard;6,25;gene4;Test;17,8933323445162;5,05736413602376;1;Pass;0,0102099395112248;77,245553064728;999;1;
S93-A67;R- Mix 1/40;Standard;6,25;gene2;Test;16,0164198333882;4,86871543869042;0,945393051944795;Pass;0,0102099395112248;80,844524981091;999;1;
S93-A96;R- Mix 1/40;Standard;6,25;normalizer2;Reference;19,3079897594297;3,97017481178186;1;Pass;0,0102099395112248;82,0057112093972;999;1;
S93-A95;R- Mix 1/40;Standard;6,25;normalizer3;Reference;12,1541228341538;5,39857763608861;0,974051820590927;Pass;0,0102099395112248;80,058896494479;999;1;
S93-A93;R- Mix 1/40;Standard;6,25;normalizer1bis;Reference;9,580838060051;4,38653248939878;1;Pass;0,0102099395112248;80,0914654357748;999;1;
S93-A91;R- Mix 1/40;Standard;6,25;gene3;Test;16,4076266625449;5,99295064904964;1;Pass;0,0102099395112248;85,8123462399552;999;1;
S03-A01;J-N1R3;Unknown;250;normalizer1;Reference;3,81196494857406;221,314828521746;0,603988316191354;Fail;0,0102099395112248;80,0854977337037;999;1;
S03-A22;J-N1R3;Unknown;250;gene1;Test;5,38747795729576;21715,6756768614;1;Pass;0,0102099395112248;82,5943801791105;999;1;
S03-A29;J-N1R3;Unknown;250;gene4;Test;17,3549033814238;7,02886920732198;1;Pass;0,0102099395112248;77,1958186206019;999;1;
S03-A67;J-N1R3;Unknown;250;gene2;Test;9,93914589588239;214,378335960974;1;Pass;0,0102099395112248;80,8448437929354;999;1;
S03-A96;J-N1R3;Unknown;250;normalizer2;Reference;11,0900136479934;303,905172516675;1;Pass;0,0102099395112248;82,1231658691872;999;1;
S03-A95;J-N1R3;Unknown;250;normalizer3;Reference;6,35217670203387;220,576535094623;1;Pass;0,0102099395112248;80,0688562462432;999;1;
S03-A93;J-N1R3;Unknown;250;normalizer1bis;Reference;3,7101832710839;245,139846492438;0,570061090361301;Fail;0,0102099395112248;80,1238431395664;999;1;
S03-A91;J-N1R3;Unknown;250;gene3;Test;9,09753560306143;365,489419545143;0,989032424277601;Pass;0,0102099395112248;85,427379478062;999;1;
S92-A01;R- Mix 1/20;Standard;12,5;normalizer1;Reference;8,55697080385164;9,07075873956178;1;Pass;0,0102099395112248;80,0717714151259;999;1;
S92-A22;R- Mix 1/20;Standard;12,5;gene1;Test;17,5338694717171;3,37963572496759;1;Pass;0,0102099395112248;82,2958485721641;999;1;
S92-A29;R- Mix 1/20;Standard;12,5;gene4;Test;16,169665793526;14,5072273725385;1;Pass;0,0102099395112248;77,2510488144062;999;1;
S92-A67;R- Mix 1/20;Standard;12,5;gene2;Test;15,007836438785;9,12459534908068;0,958008620214714;Pass;0,0102099395112248;80,8025646453658;999;1;
S92-A96;R- Mix 1/20;Standard;12,5;normalizer2;Reference;17,8163702096146;8,72480413820184;1;Pass;0,0102099395112248;81,9052800410073;999;1;
S92-A95;R- Mix 1/20;Standard;12,5;normalizer3;Reference;11,0059395742147;11,2498201355043;0,965517941724333;Pass;0,0102099395112248;80,0431336777518;999;1;
S92-A93;R- Mix 1/20;Standard;12,5;normalizer1bis;Reference;8,45451175727888;9,49186788637916;1;Pass;0,0102099395112248;80,0744215667038;999;1;
S92-A91;R- Mix 1/20;Standard;12,5;gene3;Test;15,3887082635736;10,6285957370934;1;Pass;0,0102099395112248;85,770312351437;999;1;
S02-A01;J-N1R2;Unknown;250;normalizer1;Reference;4,3267852178908;156,489414949624;0,750147610994803;Pass;0,0102099395112248;80,0620889692077;999;1;
S02-A22;J-N1R2;Unknown;250;gene1;Test;6,11287814126702;12863,5194938069;1;Pass;0,0102099395112248;82,5612215249897;999;1;
S02-A29;J-N1R2;Unknown;250;gene4;Test;19,3601821764027;2,06277971392791;0,998724568129671;Pass;0,0102099395112248;77,2807461610089;999;1;
S02-A67;J-N1R2;Unknown;250;gene2;Test;9,88827554416519;221,278993046199;1;Pass;0,0102099395112248;80,8039662980384;999;1;
S02-A96;J-N1R2;Unknown;250;normalizer2;Reference;11,705738331102;219,57677248116;1;Pass;0,0102099395112248;82,0303968275294;999;1;
S02-A95;J-N1R2;Unknown;250;normalizer3;Reference;6,85204284111742;160,228450435165;1;Pass;0,0102099395112248;80,0254217784977;999;1;
S02-A93;J-N1R2;Unknown;250;normalizer1bis;Reference;4,28370480936353;165,468663462926;0,757501165576572;Pass;0,0102099395112248;80,0737488299785;999;1;
S02-A91;J-N1R2;Unknown;250;gene3;Test;9,70448310312171;259,805958550658;1;Pass;0,0102099395112248;85,3433682155742;999;1;
S91-A01;R- Mix 1/10;Standard;25;normalizer1;Reference;7,3993521666921;19,7748656306099;0,996494885688045;Pass;0,0102099395112248;80,0456381204965;999;1;
S91-A22;R- Mix 1/10;Standard;25;gene1;Test;16,4368295038339;7,4609271522059;1;Pass;0,0102099395112248;82,2369341090609;999;1;
S91-A29;R- Mix 1/10;Standard;25;gene4;Test;14,7381653329737;34,8072717864147;1;Pass;0,0102099395112248;77,1497833067108;999;1;
